mmsi,trip,trip_len_h,tptrans_ade,tptrans_fde,tptrans_ade_1h_km,tptrans_fde_1h_km,tptrans_ade_2h_km,tptrans_fde_2h_km,tptrans_ade_3h_km,tptrans_fde_3h_km,traisformer_ade,traisformer_fde,traisformer_ade_1h_km,traisformer_fde_1h_km,traisformer_ade_2h_km,traisformer_fde_2h_km,traisformer_ade_3h_km,traisformer_fde_3h_km,kalman_ade,kalman_fde,kalman_ade_1h_km,kalman_fde_1h_km,kalman_ade_2h_km,kalman_fde_2h_km,kalman_ade_3h_km,kalman_fde_3h_km
211876190,2,2.75,3.5584319488104277,6.097378446872852,1.9859223938184423,3.5047228222106996,2.9427630397153552,5.084278289279241,,,1.667284261624685,3.892511903460873,1.376842155770421,1.3400076614221226,1.429873300757063,1.3170984549879252,,,1.4284726428381507,3.7924375936239674,0.3115929295464238,0.7206224512850916,0.8377885764057461,2.637556245293116,,
211876190,3,2.92,1.2322874254675602,5.597261451282468,0.4020083731717345,0.4978329249265902,0.42686918365419885,0.7315866993205085,,,1.2457339042740012,1.2653358426128256,0.7755182279158789,1.582756725497598,1.0914132474691565,1.7977887755935118,,,1.2893421624291044,5.533374543954319,0.5015649522288282,0.9972678094482467,0.7089181470270566,0.642877609399128,,
212138000,0,2.58,2.7263495744433923,6.961230150919536,0.8282521129214643,1.1274898338923363,1.9069115457004253,4.984736041151601,,,3.2452695462360537,9.020793868910534,0.9637065571126471,0.353676615582678,2.2043993057821543,6.111668404669352,,,4.057169609644608,10.386152124299555,0.6593424199667604,2.1171265344233263,2.807523246627736,7.681951561213137,,
212138000,1,4.42,8.041383418370103,7.550052246409677,1.1387615507873794,2.136045097427988,5.311831544754499,13.864449046020878,7.55083867639259,10.770859719434954,6.257280436442395,4.4007084623638,0.6543080938617764,1.0253300643202383,4.401489259311618,11.568405113146703,6.15318083316272,7.971468386873624,7.956054498103734,10.065831423979537,0.5899217540006008,1.3310570039205403,4.765440471053685,13.511693774882733,7.045747193737376,10.630394480151557
212138000,2,4.0,8.594860376371988,27.734996941432133,1.037445435452804,0.446282195289524,2.0080538136969066,5.438296443271863,4.6408435278959095,15.067990274973866,2.081937473937983,7.663151521013395,0.8396205573468634,0.4760873137508794,1.0611370225425427,1.9165129438304573,1.2245942445760345,2.4009307546211294,18.949344900980382,43.01250560953943,3.199657849748381,7.967043358917575,8.317255475501929,18.73741491280101,13.573189756372875,30.220744184563564
212491000,0,4.25,5.790371601959508,27.480830661279313,0.3245961608014673,0.6275027687601747,0.6434983033362092,0.9345288759236678,1.2947844670046134,5.363987816627569,0.6991174844750022,1.2174840744592865,0.7732529485095174,0.9136548830645314,0.6646014053256181,0.696683569072501,0.6620828332960501,0.35263989358437503,6.037584012968857,20.40678614881904,0.3908198201768736,0.8495897825093991,0.8642634967838206,1.8002370236381013,2.8590651842369486,11.755850007222106
212491000,1,0.83,4.466344670757186,8.045356561375835,,,,,,,14.342951703735977,16.258767980564162,,,,,,,0.054870986046116885,0.06553685897651745,,,,,,
212491000,2,4.42,5.8001392507251355,25.62993829571388,0.09911324579677241,0.18123939302440345,0.15582397531566358,0.03937364509407294,0.9504809081484094,7.578757132524116,5.827749979186198,24.704492163300515,0.6687814853355889,0.6583953007784678,0.7329149714979302,1.1260717846762651,1.3828733889147502,6.757119478556619,5.8222656693127774,25.74578690226185,0.10694117832660802,0.17918402747646164,0.18697207761964404,0.526688972768997,0.9753283480383319,7.42527066155566
212491000,3,4.42,3.3622258621478283,7.47666269567532,2.203993329018782,1.944659607163953,2.14947033339364,2.8787007281439383,2.594131137619519,3.379708420676995,23.223702950929223,46.718578618280326,3.784403312627098,9.087156711894696,9.923585867710413,22.1058751813081,15.568275867999812,31.907741337054485,11.76418302339269,25.2502148860784,2.8783353237103433,7.763909777415734,8.305457633847148,19.0380436029996,,
212491000,6,1.75,0.0005127887127292299,0.0005378825739036061,0.0005906969653259031,0.0005159727146525833,,,,,0.0005127887124439454,0.000537882574255455,0.0005906969648952021,0.0005159727148669408,,,,,,,,,,,,
215035000,0,2.67,5.094527836785561,9.167677235930823,1.6417643150146475,4.888164302297221,3.913774945863923,8.268551092424115,,,7.884331785687942,15.03477656847121,3.299891688095659,7.27277668030275,6.233598174750718,12.590210625553393,,,7.516545716374029,17.329259588634592,2.3829632741191404,5.2202115158240465,5.564747441826145,12.273528978865354,,
215035000,2,4.42,14.157200023925965,24.177408325062547,1.4358550596492832,2.503933287334717,4.434196602447895,13.01408586493337,9.81523037295958,24.38522300064442,10.949814091554316,12.165275672820153,0.8074509246983285,1.4995774569932785,3.9185728303242033,13.278340190010896,8.86294131847447,20.556759270455224,14.881824328761216,21.084770999148798,2.1217584979308457,0.8187907380679238,5.218356048532862,15.916215593908014,11.183342225975531,26.445325951656585
215035000,3,4.42,1.6104084275923942,4.9274704023379865,0.2661387173624528,0.4298994160387678,0.3661701130369095,0.5911935192749367,0.7216562155516433,2.350163104252889,1.1567112133515036,2.9116071736031066,0.4547732415725335,0.3382382146137041,0.6390277038762594,0.8392053073329345,0.7229604500790948,1.5406866864583035,2.412612188916413,6.750464900938194,0.24185279571640894,0.4144146601316354,0.5066988352836913,1.3568683726564466,1.1881232927595453,3.701989326369331
215035000,4,1.25,2.903242249341649,5.145580086173647,2.5713587288600026,4.827903198148873,,,,,2.0042717583064626,1.7265955999170501,2.0412520425794556,1.9552296952263606,,,,,0.6800298884972332,2.059790169799652,0.48934998660012663,1.5306227096674418,,,,
215060000,0,1.0,3.8920329093456285,7.771622298195262,,,,,,,36.777323953063465,35.7538712785144,,,,,,,2.5278127246055866,5.663637404469246,,,,,,
215060000,1,4.42,1.8106500773223897,4.309955740083878,0.47142352586144237,0.7411368769688178,1.0444026015160255,2.0550909078953645,1.1746256972388534,1.259393552548967,4.215468740485967,16.10756837036533,0.6598531213082877,1.0062913985939277,0.7253248773963101,1.904918867863677,1.5179601302618133,3.9235810274692042,2.910246781018523,4.778193340180401,0.2506261934989747,0.40407701989752276,0.652214256215067,2.276335409353929,2.161619727660605,7.057910496327234
